"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"1928","0/1","Rand Paul , the most visible symbol of the Tea Party movement , won the Republican Senate primary in Kentucky on Tuesday , overcoming a forceful resistance from the Republican Party leadership and giving <a>XXXX</a> to anti-government sentiment .","new voice","voice","dobj -> giving"
"1929","0/1","President Barack Obama came Tuesday to this area long synonymous with economic distress to take a few strides on a victory lap for the policies he credits with helping create jobs and to knock <a>XXXX</a> for standing in the way .","Republicans","Republicans","dobj -> knock"
"1930","0/1","<a>XXXX</a> came Tuesday to this area long synonymous with economic distress to take a few strides on a victory lap for the policies he credits with helping create jobs and to knock Republicans for standing in the way .","President Barack Obama","Obama","nsubj -> came"
"1931","0/1","The Obama administration encountered some Republican skepticism on Tuesday about its new arms control treaty with Russia but little outright opposition that might threaten <a>XXXX</a> by the Senate .","the chances of ratification","chances","dobj -> threaten"
"1932","0/1","The Taliban struck here at the heart of the Afghan capital Tuesday , with a suicide bomber steering <a>XXXX</a> into an American convoy as it moved through the thick of rush-hour traffic .","his explosive-laden Toyota minibus","minibus","dobj -> steering"
"1934","0/1","A high-school dropout who built the Chinese home appliance chain Gome into a multibillion-dollar empire was sentenced to 14 years in prison Tuesday after being convicted of insider trading , bribery and other crimes , <a>XXXX</a> reported .","government prosecutors","prosecutors","nsubj -> reported"
"1937","0/1","The Thai government on Tuesday rejected an offer for peace talks , calling the protesters ' pleas for a cease-fire insincere and demanding that <a>XXXX</a> disperse from the strife-torn streets of central Bangkok .","they","they","nsubj -> disperse"
"1939","0/1","<a>XXXX</a> encountered some Republican skepticism on Tuesday about its new arms control treaty with Russia but little outright opposition that might threaten the chances of ratification by the Senate .","The Obama administration","administration","nsubj -> encountered"
"1940","0/1","and <a>XXXX</a> 's not just the oil spill emanating from the wreckage of the Deepwater Horizon .","it","it","nsubj -> spill"
"1941","0/1","When does <a>XXXX</a> go from being single to unmarried ?","a woman","woman","nsubj -> go"
"1944","0/1","Sen. Arlen Specter of Pennsylvania , who bolted <a>XXXX</a> more than a year ago in a bid to salvage his Senate career as a Democrat , was defeated in a primary for his new party 's nomination on Tuesday , as Democratic primary voters turned against him and selected Rep. Joe Sestak for the nomination .","the Republican Party","Party","dobj -> bolted"
"1945","0/1","Sen. Arlen Specter of Pennsylvania , who bolted <a>XXXX</a> more than a year ago in a bid to salvage his Senate career as a Democrat , was defeated in a primary for his new party 's nomination on Tuesday , as Democratic primary voters turned against him and selected Rep. Joe Sestak for the nomination .","the Republican Party","Party","dobj -> bolted"
"1946","0/1","In their almost 50 years of existence , <a>XXXX</a> have had more knuckleheads than knuckleballers , but the gap will be closed slightly Wednesday when R.A. Dickey throws his version of the pitch for the Mets against the Washington Nationals .","the Mets","Mets","nsubj -> had"
"1947","0/1","The machine that swirls <a>XXXX</a> does not have a conscience or sympathy , just a rush of air and a low hum .","the Ping-Pong balls","balls","dobj -> swirls"
"1948","0/1","Occasionally , however , <a>XXXX</a> seeps out when the motor starts for the NBA draft lottery .","a little karma","karma","nsubj -> seeps"
"1949","0/1","As expected , Levi Leipheimer , the man who came into the Tour of California as the overall favorite to win , made a move to take <a>XXXX</a> Tuesday .","the lead","lead","dobj -> take"
"1950","0/1","Horse racing has long been criticized for being unable to make <a>XXXX</a> and for clinging to unworkable formulas .","meaningful changes","changes","dobj -> make"
"1951","0/1","So when the horsemen and management at Monmouth Park took a look at the future , they did n't like what <a>XXXX</a> saw and decided to do something different .","they","they","nsubj -> decided"
"1952","0/1","Phil Jackson moved the way one would expect someone with two artificial hips to move , ambling from side to side as he climbed several stairs to the platform where he addressed <a>XXXX</a> Monday before the opening game of the Western Conference finals .","reporters","reporters","dobj -> addressed"
"1953","0/1","Round and round the soccer field <a>XXXX</a> ran with his teammates during a fitness test Tuesday morning , silent , drenched in the cold rain , chasing something ineffable about himself and his career .","Landon Donovan","Donovan","nsubj -> ran"
"1955","0/1","<a>XXXX</a> unleashed a barrage of criticism at the far-reaching financial regulatory legislation being debated on the Senate floor , indicating that many of the party 's leaders were prepared to vote against the bill .","Senate Republican leaders on Tuesday","leaders","nsubj -> unleashed"
"1957","0/1","Kurdish writers and human rights advocates are protesting the torture and slaying of a young journalist , challenging what they say are oppressive restrictions to free speech in a part of Iraq that presents <a>XXXX</a> as safe and democratic .","itself","itself","dobj -> presents"
"1958","0/1","As a young graduate student , Elena Kagan wrote that <a>XXXX</a> was `` not necessarily wrong or invalid '' for judges to `` try to mold and steer the law '' to achieve social ends , but warned that such rulings must be rooted in legal principles to be accepted by society and endure .","it","it","nsubj -> invalid"
"1959","0/1","As a young graduate student , Elena Kagan wrote that <a>XXXX</a> was `` not necessarily wrong or invalid '' for judges to `` try to mold and steer the law '' to achieve social ends , but warned that such rulings must be rooted in legal principles to be accepted by society and endure .","it","it","nsubj -> wrong"
"1960","0/1","<a>XXXX</a> issued a sweeping indictment of a chain of failures at American intelligence agencies that permitted a Nigerian man with explosives sewn into his underwear to board a flight from Amsterdam to Detroit on Christmas Day .","The Senate Intelligence Committee on Tuesday","Committee","nsubj -> issued"
"1962","0/1","Foreign visitors have deserted its temples and <a>XXXX</a> .","backpacker haunts","haunts","dobj -> deserted"
"1964","0/1","With <a>XXXX</a> blamed for a wave of water-main breaks , DWP officials on Tuesday proposed switching to a rotating system they say would reduce pressure on the city 's aging pipes .","the city 's water conservation plan","plan","nsubj -> blamed"
"1965","0/1","Sen. Arlen Specter of Pennsylvania , who left the Republican Party a year ago in hopes of salvaging <a>XXXX</a> , was rejected on Tuesday by Democratic primary voters , with Rep. Joe Sestak winning the party 's nomination on an anti-incumbent wave that is defining the midterm elections .","a 30-year career","career","dobj -> salvaging"
"1968","0/1","Thai armored vehicles on Wednesday morning rammed through the barricades put up by anti-government protesters , and <a>XXXX</a> stormed into the protest zone , as the government moved aggressively against demonstrators who have occupied Bangkok 's central retail district for more than six weeks .","infantry troops","troops","nsubj -> stormed"
"1969","0/1","<a>XXXX</a> rammed through the barricades put up by anti-government protesters , and infantry troops stormed into the protest zone , as the government moved aggressively against demonstrators who have occupied Bangkok 's central retail district for more than six weeks .","Thai armored vehicles on Wednesday morning","vehicles","nsubj -> rammed"
"1971","0/1","Taliban insurgents launched a brazen but <a>XXXX</a> at Bagram on Wednesday morning , sparking a ferocious gun battle that left at least one U.S. contractor dead , a dozen soldiers wounded and 10 guerrillas dead .","ultimately futile assault on the U.S. base","assault","dobj -> launched"
"1973","0/1","A crackdown on antigovernment protesters launched by the Thai military on Wednesday degenerated into riots , firebombing attacks , looting and street battles after <a>XXXX</a> allied with the protest movement resisted the army 's onslaught with grenades and assault weapons .","militants","militants","nsubj -> allied"
"1974","0/1","If <a>XXXX</a> 's permissible for bears to do what bears do in the woods , why not Texas hunters ?","it","it","nsubj -> permissible"
"1975","0/1","Intellectually we know that cancer can happen to anybody at any time , but <a>XXXX</a> tend to associate it with older people .","we","we","nsubj -> tend"
"1976","0/1","When a grandparent gets diagnosed with cancer , we are sad , but it does not seem so unexpected as when <a>XXXX</a> does .","a young person","person","nsubj -> does"
"1977","0/1","A NOAA situation status map released Wednesday predicts <a>XXXX</a> is already deep in the Gulf Loop Current .","the oil spill","spill","nsubj -> deep"
"1978","0/1","It 's the most unlikely place to unlock the mysteries of an oil spill in the Gulf of Mexico : a landlocked lab in Athens at the University of Georgia , <a>XXXX</a> .","a school better known for crop , not marine science","school","appos -> lab"
